,,,,,pIC50
CC(C)(C)c1cnc(o1)CSc2cnc(s2)Nc3ccc(cc3)S(=O)(=O)NCCO,IC50,=,2,nM,8.69897000433602
CC(C)(C)c1cnc(o1)CSc2cnc(s2)Nc3ccccn3,IC50,=,2,nM,8.69897000433602
CCCCNS(=O)(=O)n1c2c(ccc3c2cn[nH]3)c(n1)C(=O)N,IC50,=,2,nM,8.69897000433602
c1cc2c(cn[nH]2)c3c1c(nn3CC(F)(F)F)C(=O)N,IC50,=,2,nM,8.69897000433602
CCCCNS(=O)(=O)c1ccc(cc1)n2c3c(ccc4c3cn[nH]4)c(n2)C(=O)N,IC50,=,2,nM,8.69897000433602
c1cc(c(c(c1)F)C(=O)n2c(nc(n2)Nc3ccc(cc3)S(=O)(=O)N)N)F,IC50,=,2,nM,8.69897000433602
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4ccccc4,IC50,=,2,nM,8.69897000433602
c1ccc(cc1)Nc2ncc3c(n2)-c4c(c(n[nH]4)C(=O)N)CC3,IC50,=,2,nM,8.69897000433602
CC(=O)c1cccc(c1)Nc2ncc3c(n2)-c4c(c(nn4C)C(=O)N)CC3,IC50,=,2,nM,8.69897000433602
CC(=O)c1ccc(cc1)Nc2ncc3c(n2)-c4c(c(nn4C)C(=O)N)CC3,IC50,=,2,nM,8.69897000433602
C/C(=N\c1ccc(cc1)S(=O)(=O)N)/c2c3cc(ccc3[nH]c2O)c4cnco4,IC50,=,2,nM,8.69897000433602
c1cc(c(cc1c2ccc3c(n2)[nH]nc3NC(=O)C4CC4)Br)O,IC50,=,2,nM,8.69897000433602
c1cc(c(cc1c2ccc3c(n2)[nH]nc3NC(=O)C4CC4)Cl)O,IC50,=,2,nM,8.69897000433602
C/C(=C/1\c2cc(ccc2NC1=O)c3cnco3)/Nc4ccc(cc4)S(=O)(=O)N,IC50,=,2,nM,8.69897000433602
c1ccn2c(c1)ncc2c3ccnc(n3)Nc4ccc(cc4)S(=O)(=O)N,IC50,=,2,nM,8.69897000433602
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)C(=O)NCCO,IC50,=,2,nM,8.69897000433602
Cc1ncc(n1C2CCCC2)c3ccnc(n3)Nc4ccc(cc4)C(=O)NC,IC50,=,2,nM,8.69897000433602
Cc1ncc(n1C(C)C)c2c(cnc(n2)Nc3ccc(cc3)C(=O)N(C)C)F,IC50,=,2,nM,8.69897000433602
Cc1ncc(n1C(C)C)c2c(cnc(n2)Nc3ccc(c(c3)F)C(=O)N(C)C)F,IC50,=,2,nM,8.69897000433602
Cc1ncc(n1C(C)C)c2c(cnc(n2)Nc3ccc(c(c3)F)C(=O)NCCN(C)C)F,IC50,=,2,nM,8.69897000433602
Cc1ncc(n1C(C)C)c2c(cnc(n2)Nc3ccc(cc3)C(=O)N4CC[C@@H](C4)N(C)C)F,IC50,=,2,nM,8.69897000433602
Cc1ncc(n1C(C)C)c2c(cnc(n2)Nc3ccc(cc3)C(=O)N4CCCN(CC4)C)F,IC50,=,2,nM,8.69897000433602
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)C(=O)N4CC[C@@H](C4)NC,IC50,=,2,nM,8.69897000433602
Cc1ncc(n1C(C)C)c2c(cnc(n2)Nc3ccc(cc3)C(=O)N4CC[C@@H](C4)NC)F,IC50,=,2,nM,8.69897000433602
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4ccc(cc4)N5CCN(CC5)C,IC50,=,2,nM,8.69897000433602
CN(C)S(=O)(=O)c1ccc(cc1Cl)Nc2cc(nc3n2ncc3Br)NC4CCC(CC4)N,IC50,=,2,nM,8.69897000433602
c1cc(cc(c1)Nc2nccc(n2)c3cnn4c3cccn4)C#N,IC50,=,2,nM,8.69897000433602
c1cc(cnc1)CNC(=O)c2ccc3c(c2)c(c([nH]3)O)N=Nc4ccc(cc4)S(=O)(=O)N,IC50,=,2.1,nM,8.67778070526608
COC(=O)c1ccc2c(c1)c(c([nH]2)O)/C=N/c3ccc(cc3)S(=O)(=O)N,IC50,=,2.1,nM,8.67778070526608
c1cc(cnc1)CNC(=O)c2ccc3c(c2)/C(=N/Nc4ccc(cc4)S(=O)(=O)N)/C(=O)N3,IC50,=,2.1,nM,8.67778070526608
COC(=O)c1ccc2c(c1)/C(=C/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2,IC50,=,2.1,nM,8.67778070526608
c1cc(ccc1N=Nc2c3c(ccc4c3c(n[nH]4)Cl)[nH]c2O)S(=O)(=O)N,IC50,=,2.2,nM,8.65757731917779
c1cc(ccc1N/N=C\2/c3c(ccc4c3c(n[nH]4)Cl)NC2=O)S(=O)(=O)N,IC50,=,2.2,nM,8.65757731917779
c1cc2c(cc1O)/C(=N/O)/C(=C/3\c4cc(ccc4NC3=O)F)/N2,IC50,=,2.25,nM,8.64781748188864
c1cc(ccc1N=Nc2c3cc(ccc3[nH]c2O)c4cnco4)S(=O)(=O)N,IC50,=,2.3,nM,8.63827216398241
c1cc(ccc1N/N=C\2/c3cc(ccc3NC2=O)c4cnco4)S(=O)(=O)N,IC50,=,2.3,nM,8.63827216398241
CC(C)c1cccc2c1c(c([nH]2)O)N=Nc3ccc(cc3)S(=O)(=O)N,IC50,=,2.5,nM,8.60205999132796
c1cc(ccc1/N=C/c2c3cc(ccc3[nH]c2O)c4cnco4)S(=O)(=O)N,IC50,=,2.5,nM,8.60205999132796
CC(C)c1cccc2c1/C(=N/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2,IC50,=,2.5,nM,8.60205999132796
c1cc(ccc1N/C=C\2/c3cc(ccc3NC2=O)c4cnco4)S(=O)(=O)N,IC50,=,2.5,nM,8.60205999132796
c1cc(ccc1/N=C/c2c3c(ccc4c3scn4)[nH]c2O)S(=O)(=O)N,IC50,=,2.8,nM,8.55284196865778
c1cc(ccc1N/C=C\2/c3c(ccc4c3scn4)NC2=O)S(=O)(=O)N,IC50,=,2.8,nM,8.55284196865778
COc1cc[nH]c1/C=C\2/c3c(ccc(c3C#C[C@@H](CO)N)F)NC2=O,IC50,=,3,nM,8.52287874528034
C[C@H]([C@@H]([C@@H](C#Cc1c(ccc2c1/C(=C/c3c(cc[nH]3)OC)/C(=O)N2)F)O)N)O,IC50,=,3,nM,8.52287874528034
CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)Nc3c(cccc3Cl)Cl,IC50,=,3,nM,8.52287874528034
CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)Cc3ccc(cc3)CNC(CO)CO,IC50,=,3,nM,8.52287874528034
CC(C)(C)c1ncc(o1)CSc2cnc(s2)NC(=O)Cc3ccccc3,IC50,=,3,nM,8.52287874528034
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)C#N,IC50,<,3,nM,8.52287874528034
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)N4CCN(CC4)C(=O)C,IC50,<,3,nM,8.52287874528034
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)N4CCN(CC4)S(=O)(=O)C,IC50,<,3,nM,8.52287874528034
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)Cl,IC50,<,3,nM,8.52287874528034
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)F,IC50,=,3,nM,8.52287874528034
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)N4CCN(CC4)S(=O)(=O)CCOC,IC50,<,3,nM,8.52287874528034
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)N4CCN(CC4)S(=O)(=O)CCN(C)C,IC50,=,3,nM,8.52287874528034
c1cc(c(c(c1)F)C(=O)Nc2c[nH]nc2C(=O)Nc3ccc(cc3)F)F,IC50,=,3,nM,8.52287874528034
c1cc(sc1)Cc2ccc(cc2)CC(=O)Nc3cc([nH]n3)C4CC4,IC50,=,3,nM,8.52287874528034
CCC1CC(CCN1)C(=O)Nc2ncc(s2)SCc3ncc(o3)C(C)(C)C,IC50,=,3,nM,8.52287874528034
CCCOc1ccnc2c1c(c[nH]2)c3ccnc(n3)N,IC50,=,3,nM,8.52287874528034
Cc1c(n2ccccc2n1)c3ccnc(n3)Nc4ccc(cc4)S(=O)(=O)N,IC50,<,3,nM,8.52287874528034
CC(C)(C)c1cnc(o1)CSc2cnc(s2)Nc3cccnc3,IC50,=,3,nM,8.52287874528034
CC(C)(C)c1cnc(o1)CSc2cnc(s2)Nc3ccc(cn3)CNCC(C)(C)CO,IC50,=,3,nM,8.52287874528034
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4ccc(cc4)C(F)(F)F,IC50,=,3,nM,8.52287874528034
Cc1ccccc1Nc2ncc3c(n2)-c4c(c(nn4C)C(=O)N)CC3,IC50,=,3,nM,8.52287874528034
Cn1c-2c(c(n1)C(=O)O)CCc3c2nc(nc3)Nc4ccccc4,IC50,=,3,nM,8.52287874528034
CC(C)COC(=O)c1ccc2c(c1)c(c([nH]2)O)/C=N/c3ccc(cc3)S(=O)(=O)N,IC50,=,3,nM,8.52287874528034
c1cc([nH]c1)c2cc(c3c(ccc4c3c2C(=O)N4)F)SCCN,IC50,=,3,nM,8.52287874528034
CNS(=O)(=O)c1ccc(cc1)Nc2nccc(n2)c3cnc4n3cccc4,IC50,<,3,nM,8.52287874528034
c1ccc(cc1)Nc2nccc(n2)c3cnc4n3cccc4,IC50,<,3,nM,8.52287874528034
COCCNS(=O)(=O)c1ccc(cc1)Nc2ncc(c(n2)c3cnc4n3cccc4)Cl,IC50,<,3,nM,8.52287874528034
CCSc1ccc2ncc(n2c1)c3ccnc(n3)Nc4ccc(cc4)S(=O)(=O)NCCOC,IC50,<,3,nM,8.52287874528034
CN(C)CCCNS(=O)(=O)c1ccc(cc1)Nc2nccc(n2)c3cnc4n3cccc4,IC50,<,3,nM,8.52287874528034
COCCNS(=O)(=O)c1ccc(cc1)Nc2nccc(n2)c3cnc4n3cc(cc4)Br,IC50,<,3,nM,8.52287874528034
COCCNS(=O)(=O)c1ccc(cc1)Nc2ncc(c(n2)c3cnc4n3cccc4)Br,IC50,<,3,nM,8.52287874528034
COCCNS(=O)(=O)c1ccc(cc1)Nc2nccc(n2)c3cnc4n3cc(cc4)C#N,IC50,<,3,nM,8.52287874528034
c1cc(sc1)c2ccc(cc2)CC(=O)Nc3cc([nH]n3)C4CC4,IC50,=,3,nM,8.52287874528034
CC(C)COC(=O)c1ccc2c(c1)/C(=C/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2,IC50,=,3,nM,8.52287874528034
CNS(=O)(=O)c1ccc(cc1)Nc2nccc(n2)c3cnc4n3nccc4,IC50,<,3,nM,8.52287874528034
Cc1ncc(n1C)c2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)NC,IC50,<,3,nM,8.52287874528034
Cc1ncc(n1C2CCCC2)c3ccnc(n3)Nc4ccc(cc4)S(=O)(=O)NCCOC,IC50,<,3,nM,8.52287874528034
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)C(=O)N,IC50,=,3,nM,8.52287874528034
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)C(=O)NC,IC50,=,3,nM,8.52287874528034
Cc1ncc(n1C(C)C)c2c(cnc(n2)Nc3ccc(cc3)C(=O)NC)F,IC50,=,3,nM,8.52287874528034
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(c(c3)F)C(=O)NCCN(C)C,IC50,=,3,nM,8.52287874528034
c1cc2c(cnn2nc1)c3ccnc(n3)Nc4ccc(cc4)N(=O)=O,IC50,=,3,nM,8.52287874528034
c1cc(cc(c1)Nc2nccc(n2)c3cnn4c3cccn4)c5cocn5,IC50,=,3,nM,8.52287874528034
c1cc(ccc1/N=C/c2c3c(ccc4c3scn4)[nH]c2O)S(=O)(=O)NC(=N)N,IC50,=,3.3,nM,8.48148606012211
C[C@@H]1C[C@H]2CN1CCn3c(c4cccc(c4n3)-c5c(nc6cccc(c6n5)O2)O)O,IC50,=,3.4,nM,8.46852108295774
CC(C)Oc1cccc2c1c(c([nH]2)O)N=Nc3ccc(cc3)S(=O)(=O)N,IC50,=,3.4,nM,8.46852108295774
CC(C)Oc1cccc2c1/C(=N/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2,IC50,=,3.4,nM,8.46852108295774
c1cc(ccc1/N=C/c2c3c(ccc4c3scn4)[nH]c2O)S(=O)(=O)NCCc5c[nH]cn5,IC50,=,3.6,nM,8.44369749923271
CNCC#Cc1c(ccc2c1/C(=C/c3c(cc[nH]3)OC)/C(=O)N2)F,IC50,=,4,nM,8.39794000867204
COc1cc[nH]c1/C=C\2/c3c(ccc(c3C#C[C@@H]4C[C@H](CN4)O)F)NC2=O,IC50,=,4,nM,8.39794000867204
COc1cc[nH]c1/C=C\2/c3c(ccc(c3C#CC4(CCOCC4)O)F)NC2=O,IC50,=,4,nM,8.39794000867204
COc1cc[nH]c1/C=C\2/c3c(ccc(c3C#CC(CN)O)F)NC2=O,IC50,=,4,nM,8.39794000867204
CN[C@H](CO)C#Cc1c(ccc2c1/C(=C/c3c(cc[nH]3)OC)/C(=O)N2)F,IC50,=,4,nM,8.39794000867204
