,,,,,pIC50
c1cc(c(c(c1)Cl)C(=O)c2ccc3nc(c(n3c2)C(=O)c4c(cc(cc4F)C(=O)N)F)N)Cl,IC50,=,46,nM,7.33724216831843
Cc1ccc2c(c1)/C(=N/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2,IC50,=,46,nM,7.33724216831843
c1cc(c(c(c1)Cl)C(=O)Nc2c[nH]nc2C(=O)NC3CCNCC3)Cl,IC50,=,47,nM,7.32790214206428
CC1(Cc2cnc(nc2-c3c1c(nn3C)C(=O)NC)Nc4cccc(c4)OC5CCN(CC5)C)C,IC50,=,47,nM,7.32790214206428
CC(C)c1c2c([nH]n1)-c3cccc(c3C2=O)NC(=O)CN4CCC(CC4)CN,IC50,=,48,nM,7.31875876262441
c1ccc(cc1)CC(=O)Nc2cc([nH]n2)C3CC3,IC50,=,48,nM,7.31875876262441
c1ccc(cc1)CNc2c3c(nc(n2)NC4CCC(CC4)N)n(cn3)C5CCCC5,IC50,=,48,nM,7.31875876262441
c1cc([nH]c1)c2cc(c3c(ccc4c3c2C(=O)N4)F)NCCCN,IC50,=,48,nM,7.31875876262441
c1cc(c\2c(c1)NC(=O)/C2=C\c3c4c(c[nH]3)C(=O)NCC4)C5CCNCC5,IC50,=,49,nM,7.30980391997149
CC(=O)Nc1ncc(s1)SCC(=O)OC(C)(C)C,IC50,=,50,nM,7.30102999566398
CCNC(=O)Nc1ncc(s1)SCc2ncc(o2)C(C)(C)C,IC50,=,50,nM,7.30102999566398
COc1ccc(cc1)c2c3c(n[nH]2)-c4cccc(c4C3=O)NC(=O)NNC(=O)c5cccc6c5cccc6,IC50,=,50,nM,7.30102999566398
c1cc(ccc1C(=O)Nc2cc([nH]n2)C3CCCC3)Br,IC50,=,50,nM,7.30102999566398
c1ccc(cc1)CNC2=NC(=O)/C(=C/c3c[nH]c4c3cccn4)/S2,IC50,<,50,nM,7.30102999566398
CCc1c2c(nc(nc2O)Cc3ccc(cc3)Br)n(n1)c4c(cc(cc4Cl)Cl)Cl,IC50,=,50,nM,7.30102999566398
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccccc3,IC50,=,50,nM,7.30102999566398
c1cc(cc(c1)I)CNc2c3c(nc(n2)NC4CCC(CC4)N)n(cn3)C5CCCC5,IC50,=,50,nM,7.30102999566398
CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)c3ccc(c(c3)OC)OC,IC50,=,50,nM,7.30102999566398
CC(=O)Nc1nc(cs1)Cc2nnc(n2N)S,IC50,=,50,nM,7.30102999566398
CS(=O)(=O)Cc1ccc(cc1)/N=C/c2c3c(ccc4c3scn4)[nH]c2O,IC50,=,50,nM,7.30102999566398
Cc1cc(n[nH]1)Nc2cnc(c(n2)N[C@@H](C)c3ncc(cn3)F)C#N,IC50,=,50,nM,7.30102999566398
CCN(CC)Cc1cccc(c1)Nc2nccc(n2)c3cnn4c3cccn4,IC50,=,50,nM,7.30102999566398
CCCCNC(=O)N1Cc2c(n[nH]c2NC(=O)Cc3ccc(cc3)N4CCCC4=O)C1,IC50,=,51,nM,7.29242982390206
CCCCNC(=O)N1Cc2c(n[nH]c2NC(=O)Cc3ccccc3F)C1,IC50,=,51,nM,7.29242982390206
c1ccc(cc1)C(=O)Nc2c[nH]nc2c3[nH]c4ccccc4n3,IC50,=,52,nM,7.2839966563652
c1cc(c(c(c1)Cl)C(=O)c2ccc3nc(c(n3c2)C(=O)c4c(cc(cc4F)O)F)N)Cl,IC50,=,52,nM,7.2839966563652
c1cc(c(c(c1)F)C(=O)c2c(nc3n2cc(cc3)C(=O)c4c(cccc4Cl)Cl)N)F,IC50,=,53,nM,7.27572413039921
c1cc(ccc1C[C@@H](CNc2nnc(s2)c3ccc4cnccc4c3)N)C(F)(F)F,IC50,=,53,nM,7.27572413039921
COc1ccc(cc1)c2c3c(n[nH]2)-c4cccc(c4C3=O)NC(=O)CN5CCSCC5,IC50,=,54,nM,7.26760624017703
COc1ccc2c(c1Cl)c(c([nH]2)O)N=Nc3ccc(cc3)S(=O)(=O)N,IC50,=,54,nM,7.26760624017703
c1cc(c2c(c1)[nH]c(c2/C=N/c3ccc(cc3)S(=O)(=O)N)O)CO,IC50,=,54,nM,7.26760624017703
c1cc([nH]c1)c2cc(c3c(ccc4c3c2C(=O)N4)F)NCCO,IC50,=,54,nM,7.26760624017703
COc1ccc2c(c1Cl)/C(=N/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2,IC50,=,54,nM,7.26760624017703
c1cc(c\2c(c1)NC(=O)/C2=C\Nc3ccc(cc3)S(=O)(=O)N)CO,IC50,=,54,nM,7.26760624017703
c1cc-2c(c(c1)NC(=O)CN3CCC(CC3)CN)C(=O)c4c2[nH]nc4C5CC5,IC50,=,55,nM,7.25963731050576
c1cc2ccncc2c(c1)NC(=O)Nc3ncc(s3)C4CCC4,IC50,=,55,nM,7.25963731050576
CC1(Cc2cnc(nc2-c3c1c(nn3C)C(=O)NC)Nc4ccc(cc4)CN5CCN(CC5)C)C,IC50,=,55,nM,7.25963731050576
c1cc(ccc1C[C@@H](CNc2ncc(s2)c3ccc4c(c3)n(nn4)N)N)C(F)(F)F,IC50,=,55.3,nM,7.2572748686953
c1ccc(cc1)c2ccc(cc2)CC(=O)Nc3cc([nH]n3)C4CC4,IC50,=,56,nM,7.2518119729938
CN(C)S(=O)(=O)c1ccc(cc1)Nc2nc3c(c(n2)OCC4CCCCC4)[nH]cn3,IC50,=,56,nM,7.2518119729938
Cc1cc2c(=O)c(c(oc2c(c1)N3C(=O)CN(C3=O)C)c4ccc(c(c4)O)O)O,IC50,=,56,nM,7.2518119729938
CCn1c(ncc1c2ccnc(n2)Nc3ccc(cc3)C(=O)NC)C,IC50,=,56,nM,7.2518119729938
Cc1cc2ccn(c2c3c1c4c(c5ccc(cc5[nH]4)OC)c6c3C(=O)NC6=O)C,IC50,=,57,nM,7.24412514432751
Cc1c2cc(ccc2[nH]n1)c3nnc(s3)NC[C@H](Cc4ccccc4Cl)N,IC50,=,57,nM,7.24412514432751
C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]1CCCC[C@H]1c2cccc(c2)Cl)NC(=O)c3ccc(cc3)CN=C(N)N,IC50,=,58,nM,7.23657200643706
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)N4CCN(CC4)C,IC50,=,58,nM,7.23657200643706
CC1(Cc2cnc(nc2-c3c1c(nn3C)C(=O)NC)Nc4cccc(c4)CN5CCN(CC5)C)C,IC50,=,59,nM,7.22914798835786
CC1(Cc2cnc(nc2-c3c1c(nn3C)C(=O)NC)Nc4ccc(cc4)N(C)C)C,IC50,=,59,nM,7.22914798835786
CC(C)c1cnn2c1nc(cc2Nc3ccc(cc3)S(=O)(=O)N(C)C)NC4CCC(CC4)N,IC50,=,59,nM,7.22914798835786
Cn1c2ccccc2c3c1c4c(c5ccccc5n4CC(CO)O)c6c3C(=O)NC6=O,IC50,<,60,nM,7.22184874961636
c1cnc2c(c1Cl)c(c[nH]2)c3ccnc(n3)N,IC50,=,60,nM,7.22184874961636
CC(C)c1cnn2c1nc(nc2NCc3ccc(cc3)Cl)N[C@@H](CO)C(C)C,IC50,=,60,nM,7.22184874961636
CCc1c2c(nc(nc2O)Cc3ccc(c(c3)C)OC)n(n1)c4c(cc(cc4Cl)Cl)Cl,IC50,=,60,nM,7.22184874961636
c1cc(ccc1N=Nc2c3cc(ccc3[nH]c2O)Br)S(=O)(=O)N,IC50,=,60,nM,7.22184874961636
CCN1CCN(CC1)CCCC(=O)Nc2c3cc(c(nc3[nH]n2)c4ccc(cc4)O)Br,IC50,=,60,nM,7.22184874961636
c1cc(ccc1N/N=C\2/c3cc(ccc3NC2=O)Br)S(=O)(=O)N,IC50,=,60,nM,7.22184874961636
c1cc2c(cc1OC(F)(F)F)/C(=C/3\C(=N/O)\c4cc(ccc4N3)F)/C(=O)N2,IC50,=,60.3,nM,7.21968268785985
Cc1cc(c(s1)C)c2c3c(n[nH]2)-c4cccc(c4C3=O)NC(=O)N,IC50,=,61,nM,7.21467016498923
c1cc(ccc1/N=C/c2c3ccc(cc3[nH]c2O)CO)S(=O)(=O)N,IC50,=,61,nM,7.21467016498923
c1cc(ccc1N/C=C\2/c3ccc(cc3NC2=O)CO)S(=O)(=O)N,IC50,=,61,nM,7.21467016498923
CCNC1CCC(CC1)Nc2cc(n3c(n2)c(cn3)C(C)C)Nc4ccc(cc4)S(=O)(=O)N(C)C,IC50,=,61,nM,7.21467016498923
c1cc(cc(c1)NC(=O)Nc2cc(ccc2F)C(F)(F)F)c3cc(n[nH]3)Nc4ccc(cc4)S(=O)(=O)N,IC50,=,61.6,nM,7.21041928783558
COc1ccc2cnc(nc2c1C3CCCC3)Nc4ccc(c(c4)F)N5CCNCC5,IC50,=,62,nM,7.20760831050175
c1cc(cnc1)n2c3c(ccc4c3cn[nH]4)c(n2)C(=O)N,IC50,=,62,nM,7.20760831050175
CCOC(=O)CCC(=O)NS(=O)(=O)c1ccc(cc1)Nc2nc(n(n2)C(=O)c3c(cccc3F)F)N,IC50,=,62,nM,7.20760831050175
c1cc(cc(c1)O)c2ccc3c(n2)[nH]nc3NC(=O)C4CC4,IC50,=,62,nM,7.20760831050175
c1cc([nH]c1)c2cc(c3c(ccc4c3c2C(=O)N4)F)OCCO,IC50,=,62,nM,7.20760831050175
CC(C)n1c(cnc1COC)c2ccnc(n2)Nc3ccc(cc3)C(=O)NC,IC50,=,62,nM,7.20760831050175
C=C(c1ccc2nc(c(n2c1)C(=O)c3c(cccc3F)F)N)c4c(cccc4F)F,IC50,=,63,nM,7.20065945054642
CCCCOc1c(c[nH]c-2nncc12)C(=O)c3c(cccc3F)F,IC50,=,64,nM,7.19382002601611
c1ccc2c(c1)c3c4c(c5c(c3[nH]2)ccc6c5[nH]cc6)C(=O)NC4=O,IC50,=,64,nM,7.19382002601611
CC(C)NS(=O)(=O)c1ccc2c(c1)/C(=C/c3c4c(c[nH]3)C(=O)OCC4)/C(=O)N2,IC50,=,64,nM,7.19382002601611
CC(C)(CNc1cc(c2c3c1c(ccc3NC2=O)F)c4ccc[nH]4)N,IC50,=,65,nM,7.18708664335714
Cn1ccc2c1c3c(c(c2)OC)c4c(c5ccccc5[nH]4)c6c3C(=O)NC6=O,IC50,=,67,nM,7.17392519729917
Cn1ccc2c1c3c(cc2)c4c(c5ccccc5n4CCCO)c6c3C(=O)NC6=O,IC50,=,67,nM,7.17392519729917
c1cc(ccc1CC(=O)Nc2cc([nH]n2)C3CC3)OC(F)(F)F,IC50,=,67,nM,7.17392519729917
c1cc(ccc1C(=O)N)C(=O)Nc2cc([nH]n2)C3CC3,IC50,=,68,nM,7.16749108729376
CC(C)(C)OC(=O)NCCCn1cc(c2c1nccc2)C3=C(C(=O)NC3=O)c4ccccc4OC,IC50,=,68,nM,7.16749108729376
CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c3c4c(c[nH]3)C(=O)NCC4)/C(=O)N2,IC50,=,68,nM,7.16749108729376
c1cc2c(cc1C(=O)O)/C(=C/c3c4c(c[nH]3)C(=O)NCC4)/C(=O)N2,IC50,=,68,nM,7.16749108729376
COc1ccccc1C(=O)c2c(nc3n2cc(cc3)C(=O)c4c(cccc4F)F)N,IC50,=,68,nM,7.16749108729376
Cc1c(n(c(n1)C)C)c2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)NCCOC,IC50,=,68,nM,7.16749108729376
Cc1cc2ccn(c2c3c1c4c(c5ccccc5[nH]4)c6c3C(=O)NC6=O)C,IC50,=,70,nM,7.15490195998574
c1cc2cnccc2c(c1)CC(=O)Nc3ncc(s3)C4CCC4,IC50,=,70,nM,7.15490195998574
CCc1c2c(nc(nc2O)Cc3ccc(c(c3)OC)O)n(n1)c4c(cc(cc4Cl)Cl)Cl,IC50,=,70,nM,7.15490195998574
COc1cc(ccc1S(=O)(=O)N)Nc2nc3c(c(n2)OCC4CCCCC4)[nH]cn3,IC50,=,70,nM,7.15490195998574
Cc1c2cc(ccc2[nH]n1)c3nnc(s3)NC[C@H](Cc4ccc(cc4Cl)Cl)N,IC50,=,70,nM,7.15490195998574
c1cc(c(c(c1)F)C(=O)n2c(nc(n2)Nc3ccc(cc3)S(=O)(=O)NC(=O)CCC(=O)O)N)F,IC50,=,71,nM,7.14874165128093
CCc1cc(c2c3c1c(ccc3NC2=O)F)c4ccc[nH]4,IC50,=,72,nM,7.14266750356873
Cc1c2cc(ccc2[nH]n1)c3nnc(s3)NC[C@H](Cc4ccccc4)N,IC50,=,72,nM,7.14266750356873
Cc1c2cc(ccc2[nH]n1)c3nnc(s3)NC[C@H](Cc4ccc(cc4)Cl)N,IC50,=,72,nM,7.14266750356873
CC(c1ccc(cc1)n2cnnc2O)C(=O)Nc3cc([nH]n3)C4CC4,IC50,=,73,nM,7.13667713987954
c1cc(ccc1Nc2ncc(c(n2)Nc3ccc4c(c3)nc[nH]4)C(F)(F)F)Br,IC50,=,73,nM,7.13667713987954
c1ccc(cc1)CC(=O)Nc2ncc(s2)C3CCC3,IC50,=,74,nM,7.13076828026902
c1cc(ccc1CC(=O)Nc2cc([nH]n2)C3CC3)C(=O)N,IC50,=,74,nM,7.13076828026902
c1cc(ccc1N=Nc2c3cc(ccc3[nH]c2O)N)S(=O)(=O)N,IC50,=,74,nM,7.13076828026902
c1cc(ccc1N/N=C\2/c3cc(ccc3NC2=O)N)S(=O)(=O)N,IC50,=,74,nM,7.13076828026902
Cn1c-2c(c(n1)C(=O)NCCO)CCc3c2nc(nc3)Nc4ccccc4,IC50,=,74,nM,7.13076828026902
c1cc(ccc1C[C@@H](CNc2nnc(s2)c3ccc4c(c3)cn[nH]4)N)F,IC50,=,74,nM,7.13076828026902
Cn1ccc2c1c3c(cc2)c4c(c5ccc(cc5[nH]4)Br)c6c3C(=O)NC6=O,IC50,=,75,nM,7.1249387366083
Cn1ccc2c1c3c(cc2)c4c(c5ccccc5[nH]4)c6c3C(=O)NC6=O,IC50,=,75,nM,7.1249387366083
c1cc(ccc1C2=NCC=N2)n3c4c(ccc5c4cn[nH]5)c(n3)C(=O)N,IC50,=,75,nM,7.1249387366083
CC(C)c1ccc2c(c1)[nH]c(c2N=Nc3ccc(cc3)S(=O)(=O)N)O,IC50,=,75,nM,7.1249387366083
CC(=O)NS(=O)(=O)c1ccc(cc1)/N=C/c2c3c(ccc4c3scn4)[nH]c2O,IC50,=,75,nM,7.1249387366083
Cc1cc2c(=O)c(c(oc2c(c1)N3CCCS3(=O)=O)c4ccc(c(c4)Br)O)O,IC50,=,75,nM,7.1249387366083
CC(C)c1ccc\2c(c1)NC(=O)/C2=N\Nc3ccc(cc3)S(=O)(=O)N,IC50,=,75,nM,7.1249387366083
CC(=O)Nc1cccc-2c1C(=O)c3c2[nH]nc3c4ccncc4,IC50,=,76,nM,7.11918640771921
c1cc2c(cc1OC(F)(F)F)/C(=C/3\C(=N/O)\c4cc(ccc4N3)Cl)/C(=O)N2,IC50,=,76.2,nM,7.1180450286604
CC(c1ccc(cc1)N2C(=C)CCC2=O)C(=O)Nc3cc([nH]n3)C4CC4,IC50,=,77,nM,7.11350927482752
CCOc1cc(c2c3c1c(ccc3NC2=O)F)c4ccc[nH]4,IC50,=,77,nM,7.11350927482752
c1cc2c(cn[nH]2)c3c1c([nH]n3)C(=O)N,IC50,=,78,nM,7.10790539730952
c1ccnc(c1)NC(=O)Nc2cccc3c2[C@H]4CCCN4C3=O,IC50,=,78,nM,7.10790539730952
c1cc2c3c(c1)c4c5c(c6c7ccc(cc7[nH]c6c4n3C(CC2)CO)F)C(=O)NC5=O,IC50,=,79,nM,7.10237290870956
c1ccc(cc1)c2c3cc(ccc3[nH]n2)c4nnc(s4)NC[C@H](Cc5cccc(c5)C(F)(F)F)N,IC50,=,79,nM,7.10237290870956
C[C@@H](c1ccc(cc1)N2CCCC2)C(=O)Nc3cc([nH]n3)C4CC4,IC50,=,80,nM,7.09691001300806
COc1ccnc2c1c(c3n2c(ncc3)N)c4ccnc(n4)N,IC50,=,80,nM,7.09691001300806
COc1ccc(cc1)c2c3c(n[nH]2)-c4cccc(c4C3=O)NC=O,IC50,=,80,nM,7.09691001300806
c1cc(ccc1C(F)(F)F)n2c-3c(c(n2)C(=O)N)CCc4c3c[nH]n4,IC50,=,80,nM,7.09691001300806
CC(C)n1cnc2c1nc(nc2NCc3ccccc3O)NCCCO,IC50,=,80,nM,7.09691001300806
Cn1c-2c(c(n1)C(=O)NC3CC3)CCc4c2nc(nc4)Nc5ccccc5,IC50,=,81,nM,7.09151498112135
CC(C)n1c(cnc1C2CC2)c3ccnc(n3)Nc4ccc(cc4)C(=O)NC,IC50,=,81,nM,7.09151498112135
c1cc(ccc1Nc2ncc3ccc(c(c3n2)C4CCCC4)O)N5CCNCC5,IC50,=,82,nM,7.08618614761628
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4ccc(cc4OC)N5CCN(CC5)C,IC50,=,82,nM,7.08618614761628
c1cc2c(cc1F)/C(=C/c3c4c(c[nH]3)C(=O)OCC4)/C(=O)N2,IC50,=,82,nM,7.08618614761628
c1cc(c(cc1C(=O)Nc2cc([nH]n2)C3CC3)Cl)Cl,IC50,=,83,nM,7.08092190762393
Cc1ncc(n1C2CC2)c3ccnc(n3)Nc4ccc(cc4)S(=O)(=O)N(C)CCOC,IC50,=,83,nM,7.08092190762393
CC1(Cc2cnc(nc2-c3c1c(nn3C)C(=O)NC)Nc4cccc(c4)CN(C)C)C,IC50,=,83,nM,7.08092190762393
C[C@@H](c1ccccc1)C(=O)Nc2cc([nH]n2)C3CC3,IC50,=,83.9,nM,7.0762380391713
CCCCNC(=O)Nc1cccc-2c1C(=O)c3c2[nH]nc3c4ccc(cc4)OC,IC50,=,84,nM,7.07572071393812
CC(C)c1c2c([nH]n1)-c3cccc(c3C2=O)NC(=O)N,IC50,=,84,nM,7.07572071393812
CCCCOc1cc(c(c(c1)F)C(=O)c2ccc(nc2N)Nc3ccc(cc3)S(=O)(=O)N)F,IC50,=,84,nM,7.07572071393812
c1cc(ccc1C(=O)Nc2cc([nH]n2)C3CC3)Cl,IC50,=,84.9,nM,7.07109230975605
c1cc-2c(c(c1)NC(=O)CN3CCC(CC3)O)C(=O)c4c2[nH]nc4c5ccc(cc5)N6CCOCC6,IC50,=,85,nM,7.07058107428571
c1cc-2c(c(c1)NC(=O)N)C(=O)c3c2[nH]nc3c4ccco4,IC50,=,86,nM,7.06550154875643
Cn1ccc2c1c3c(c(c2)F)c4c(c5ccccc5[nH]4)c6c3C(=O)NC6=O,IC50,=,86,nM,7.06550154875643
CC(C)CC1Cc2c[nH]nc2-c3c1n[nH]c3,IC50,=,87,nM,7.06048074738138
Cc1cc2c(=O)c(c(oc2c(c1)N3CCCS3(=O)=O)c4ccc(c(c4)O)O)O,IC50,=,87,nM,7.06048074738138
c1cc2c(cc1Cl)/C(=C/c3c4c(c[nH]3)C(=O)OCC4)/C(=O)N2,IC50,=,88,nM,7.05551732784983
Cn1ccc2c1c3c(cc2)c4c(c5ccc(cc5n4CCNCCO)OC)c6c3C(=O)NC6=O,IC50,=,89,nM,7.05060999335509
c1cc(ccc1C(=O)Nc2cc([nH]n2)C3CCC3)Br,IC50,=,89.9,nM,7.04624030826677
Cc1cnc(o1)CSc2cnc(s2)NC(=O)C,IC50,=,90,nM,7.04575749056068
COc1ccc(cc1)c2c3c(n[nH]2)-c4cccc(c4C3=O)NC(=O)NNC(=O)C(=O)N,IC50,=,90,nM,7.04575749056068
c1cc(ccc1NC(=O)c2c(c[nH]n2)NC(=O)C3CCCCC3)F,IC50,=,90,nM,7.04575749056068
c1cc2c(c[nH]c2nc1)c3ccnc(n3)N,IC50,=,90,nM,7.04575749056068
CCc1c2c(nc(nc2O)CC)n(n1)c3c(cc(cc3Cl)Cl)Cl,IC50,=,90,nM,7.04575749056068
COc1cc(c(c(c1)F)C(=O)c2c(nc3n2cc(cc3)C(=O)c4c(cccc4F)F)N)F,IC50,=,91,nM,7.04095860767891
CCN(CC)C1CCC(CC1)Nc2cc(n3c(n2)c(cn3)C(C)C)Nc4ccc(cc4)S(=O)(=O)N(C)C,IC50,=,92,nM,7.03621217265444
CCOc1cccc2c1c(c([nH]2)O)N=Nc3ccc(cc3)S(=O)(=O)N,IC50,=,93,nM,7.03151705144607
CCOc1cccc2c1/C(=N/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2,IC50,=,93,nM,7.03151705144607
c1cc(ccc1C[C@@H](CNc2cc(no2)c3ccc4cnccc4c3)N)C(F)(F)F,IC50,=,93,nM,7.03151705144607
COc1ccc(cc1)c2c3c(n[nH]2)-c4cccc(c4C3=O)NC(=O)NCc5ccccc5,IC50,=,95,nM,7.02227639471115
COc1cc[nH]c1/C=C\2/c3c(ccc(c3C#C[C@H](CO)NCCO)F)NC2=O,IC50,=,95,nM,7.02227639471115
CC1C(CCCN1)C(=O)Nc2ncc(s2)SCc3ncc(o3)C(C)(C)C,IC50,=,95,nM,7.02227639471115
COc1ccc2cnc(nc2c1C3CCCC3)Nc4ccc(cc4)N5CCN(CC5)C(=O)CN,IC50,=,95,nM,7.02227639471115
c1cc(ccc1CC(=O)Nc2cc([nH]n2)C3CC3)OCCN4CCCC4,IC50,=,95,nM,7.02227639471115
c1cc(c(c(c1)Cl)C(=O)c2ccc3nc(c(n3c2)C(=O)c4c(cc(cc4F)C(=O)O)F)N)Cl,IC50,=,95,nM,7.02227639471115
c1cc-2c(c(c1)NC(=O)CN3CCC(CC3)CN)C(=O)c4c2[nH]nc4C5CCCCC5,IC50,=,96,nM,7.01772876696043
c1cc2cnccc2c(c1)NC(=O)Nc3ncc(s3)C4CCC4,IC50,=,96,nM,7.01772876696043
CC(C)c1cnc(s1)NC(=O)Cc2ccccc2,IC50,=,98,nM,7.00877392430751
c1ccc(cc1)C(C(=O)Nc2cc([nH]n2)C3CC3)F,IC50,=,99,nM,7.00436480540245
c1ccc2c(c1)ccn2CC(=O)Nc3ncc(s3)C4CCC4,IC50,=,100,nM,7
CCc1c2c(nc(nc2O)Cc3ccccc3OC)n(n1)c4c(cc(cc4Cl)Cl)Cl,IC50,=,100,nM,7
CS(=O)c1ccc(cc1)Nc2nc3c(c(n2)OCC4CCCCC4)[nH]cn3,IC50,=,100,nM,7
CC[C@H](CO)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3ccccc3,IC50,=,100,nM,7
CN1CCN(CC1)c2ccc(cc2)Nc3nccc(n3)c4cnn5c4cccn5,IC50,=,100,nM,7
Cn1ccc2c1c3c(cc2)c4c(c5ccc(cc5n4CCO)OC)c6c3C(=O)NC6=O,IC50,=,101,nM,6.99567862621736
c1cc(c(c(c1)F)C(=O)c2ccc3nc(c(n3c2)C(=O)c4c(cccc4Cl)F)N)F,IC50,=,102,nM,6.99139982823808
CN1CCN(CC1)c2cccc3c2nc([nH]3)c4c5ccc(cc5[nH]n4)c6ccc(cc6OC)O,IC50,=,102,nM,6.99139982823808
CN1CCC(CC1)n2c-3c(c(n2)C(=O)N)CCc4c3nc(nc4)Nc5ccccc5,IC50,=,104,nM,6.98296666070122
Cc1c2cc(ccc2[nH]n1)c3nnc(s3)NC[C@H](Cc4ccccc4F)N,IC50,=,104,nM,6.98296666070122
CSc1cnc(s1)NC(=O)Cc2ccccc2,IC50,=,105,nM,6.97881070093006
c1cc2c(c(c1)NC(=O)Nc3ncc(s3)C4CCC4)nn[nH]2,IC50,=,106,nM,6.97469413473523
CCCCOc1c2cn[nH]c2ncc1C(=O)c3ccccc3,IC50,=,110,nM,6.95860731484177
c1cc(c(c(c1)Cl)C(=O)Nc2c[nH]nc2C(=O)NC3CCNCC3)F,IC50,=,110,nM,6.95860731484177
CCc1c2c(nc(nc2O)CC(C)C)n(n1)c3c(cc(cc3Cl)Cl)Cl,IC50,=,110,nM,6.95860731484177
CCc1c2c(nc(nc2O)Cc3ccc(c(c3)OC)C)n(n1)c4c(cc(cc4Cl)Cl)Cl,IC50,=,110,nM,6.95860731484177
CCc1c2c(nc(nc2O)Cc3ccc(c(c3)OC)OC)n(n1)c4c(cc(cc4Cl)Cl)Cl,IC50,=,110,nM,6.95860731484177
COc1ccc2c(c1)/C(=C/c3cnc[nH]3)/C(=O)N2,IC50,=,110,nM,6.95860731484177
Cc1cc(on1)CNc2ncc(c(n2)Nc3cc([nH]n3)C4CC4)Br,IC50,=,110,nM,6.95860731484177
Cn1ccc2c1c3c(cc2)c4c(c5ccc(cc5[nH]4)OC)c6c3C(=O)NC6=O,IC50,=,112,nM,6.95078197732982
c1cc(c(cc1Nc2ncc3ccc(c(c3n2)C4CCCC4)O)F)N5CCNCC5,IC50,=,112,nM,6.95078197732982
Cn1ccc2c1c3c(cc2)c4c(c5ccc(cc5n4CCCO)OC)c6c3C(=O)NC6=O,IC50,=,113,nM,6.94692155651658
c1cc(ccc1C[C@@H](CCc2cc(no2)c3ccc4cnccc4c3)N)C(F)(F)F,IC50,=,117,nM,6.93181413825384
c1cc(c(c(c1)F)C(=O)n2c(nc(n2)Nc3ccc(cc3)S(=O)(=O)NC(=O)CCN4CCOCC4)N)F,IC50,=,118,nM,6.92811799269387
CC(=O)Nc1cccc-2c1C(=O)c3c2n[nH]c3c4ccc(cc4)SC,IC50,=,120,nM,6.92081875395238
CSc1ccc(cc1)Nc2nc(c(c(n2)OCC3CCCCC3)N=O)N,IC50,=,120,nM,6.92081875395238
CCCCc1c2c([nH]c1c3ccc(cc3)O)nccn2,IC50,=,120,nM,6.92081875395238
CCc1c2c(nc(nc2O)Cc3ccccc3O)n(n1)c4c(cc(cc4Cl)Cl)Cl,IC50,=,120,nM,6.92081875395238
CC(C)NC(=O)N1Cc2c(n[nH]c2NC(=O)c3ccc4c(c3)OCO4)C1,IC50,=,120,nM,6.92081875395238
CN(C)S(=O)(=O)c1ccc(cc1)Nc2cc(nc3n2ncn3)NC4CCC(CC4)N,IC50,=,120,nM,6.92081875395238
c1cc(c(c(c1)F)C(=O)n2c(nc(n2)Nc3ccc(cc3)S(=O)(=O)NC(=O)CN)N)F,IC50,=,120,nM,6.92081875395238
c1ccc2c(c1)c(c([nH]2)O)N=Nc3ccc(cc3)S(=O)(=O)N,IC50,=,120,nM,6.92081875395238
CNS(=O)(=O)c1ccc(cc1)c2ccc(o2)/C=C\3/C(=O)NC(=N)S3,IC50,=,120,nM,6.92081875395238
c1ccc2c(c1)/C(=N/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2,IC50,=,120,nM,6.92081875395238
c1cc2c(cnn2nc1)c3ccnc(n3)NC4CC4,IC50,=,120,nM,6.92081875395238
c1cc(c(c(c1)F)C(=O)c2ccc3nc(c(n3c2)C(=O)c4c(cccc4Cl)Cl)N)F,IC50,=,121,nM,6.91721462968355
c1cc(c(c(c1)F)C(=O)c2ccc3nc(c(n3c2)C(=O)c4c(cccc4F)F)N)F,IC50,=,122,nM,6.91364016932525
CNC(=O)CN1CCC(CC1)Nc2ncc(c(n2)c3c[nH]c4c3cccc4)Cl,IC50,=,123,nM,6.9100948885606
CC(c1ccc(cc1)N2C(=O)CNC2=O)C(=O)Nc3cc([nH]n3)C4CC4,IC50,=,124,nM,6.90657831483776
CC(C)Cc1cc(c2c3c1c(ccc3NC2=O)F)c4ccc[nH]4,IC50,=,124,nM,6.90657831483776
COc1ccc2c(c1)[nH]c3c2c4c(c5c3ccc6c5[nH]cc6)C(=O)NC4=O,IC50,=,125,nM,6.90308998699194
CC(=O)NCCNc1cc(c2c3c1c(ccc3NC2=O)F)c4ccc[nH]4,IC50,=,127,nM,6.89619627904404
CCn1c(=O)ccc2c1nc(nc2)Nc3ccccc3,IC50,=,129,nM,6.88941028970075
